setNumeric,583,"'Micronesia, Federated States of'"
setNumeric,584,'Marshall Islands'
setNumeric,585,'Palau'
setNumeric,586,'Pakistan'
setNumeric,591,'Panama'
setNumeric,598,'Papua New Guinea'
setNumeric,600,'Paraguay'
setNumeric,604,'Peru'
setNumeric,608,'Philippines'
setNumeric,612,'Pitcairn'
setNumeric,616,'Poland'
setNumeric,620,'Portugal'
setNumeric,624,'Guinea-Bissau'
setNumeric,626,'Timor-Leste'
setNumeric,630,'Puerto Rico'
setNumeric,634,'Qatar'
setNumeric,638,'Réunion'
setNumeric,642,'Romania'
setNumeric,643,'Russian Federation'
setNumeric,646,'Rwanda'
setNumeric,652,'Saint Barthélemy'
setNumeric,654,"'Saint Helena, Ascension and Tristan da Cunha'"
setNumeric,659,'Saint Kitts and Nevis'
setNumeric,660,'Anguilla'
setNumeric,662,'Saint Lucia'
setNumeric,663,'Saint Martin (French part)'
setNumeric,666,'Saint Pierre and Miquelon'
setNumeric,670,'Saint Vincent and the Grenadines'
setNumeric,674,'San Marino'
setNumeric,678,'Sao Tome and Principe'
setNumeric,682,'Saudi Arabia'
setNumeric,686,'Senegal'
setNumeric,688,'Serbia'
setNumeric,690,'Seychelles'
setNumeric,694,'Sierra Leone'
setNumeric,702,'Singapore'
setNumeric,703,'Slovakia'
setNumeric,704,'Viet Nam'
setNumeric,705,'Slovenia'
setNumeric,706,'Somalia'
setNumeric,710,'South Africa'
setNumeric,716,'Zimbabwe'
setNumeric,724,'Spain'
setNumeric,728,'South Sudan'
setNumeric,729,'Sudan'
setNumeric,732,'Western Sahara'
setNumeric,740,'Suriname'
setNumeric,744,'Svalbard and Jan Mayen'
setNumeric,748,'Swaziland'
setNumeric,752,'Sweden'
setNumeric,756,'Switzerland'
setNumeric,760,'Syrian Arab Republic'
setNumeric,762,'Tajikistan'
setNumeric,764,'Thailand'
setNumeric,768,'Togo'
setNumeric,772,'Tokelau'
setNumeric,776,'Tonga'
setNumeric,780,'Trinidad and Tobago'
setNumeric,784,'United Arab Emirates'
setNumeric,788,'Tunisia'
setNumeric,792,'Turkey'
setNumeric,795,'Turkmenistan'
setNumeric,796,'Turks and Caicos Islands'
setNumeric,798,'Tuvalu'
setNumeric,800,'Uganda'
setNumeric,804,'Ukraine'
setNumeric,807,"'Macedonia, the former Yugoslav Republic of'"
setNumeric,818,'Egypt'
setNumeric,826,'United Kingdom'
setNumeric,831,'Guernsey'
setNumeric,832,'Jersey'
setNumeric,833,'Isle of Man'
setNumeric,834,"'Tanzania, United Republic of'"
setNumeric,840,'United States'
setNumeric,850,"'Virgin Islands, U.S.'"
setNumeric,854,'Burkina Faso'
setNumeric,858,'Uruguay'
setNumeric,860,'Uzbekistan'
setNumeric,862,"'Venezuela, Bolivarian Republic of'"
setNumeric,876,'Wallis and Futuna'
setNumeric,882,'Samoa'
setNumeric,887,'Yemen'
setNumeric,894,'Zambia'
